event_date,event_time,Sport,Venue,Events
26th_July_2021,11:30,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group B: Bahrain vs Portugal, Men's Preliminary Round Group B: Japan vs Sweden"
26th_July_2021,11:40,volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Japan vs Canada, Men's Preliminary Round - Pool B: Brazil vs Argentina"
26th_July_2021,11:50,Weightlifting,Tokyo International Forum,Women's 55 kg Group A
26th_July_2021,12:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
26th_July_2021,12:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Mixed Doubles Bronze Medal Match, Mixed Doubles Gold Medal Match"
26th_July_2021,12:00,Softball,Yokohama Baseball Stadium,Softball Opening Round: Mexico vs Australia
26th_July_2021,13:00,Basketball,Saitama Super Arena,Men's Preliminary Round Group C: Japan vs Spain
26th_July_2021,13:00,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
27th_July_2021,22:30,Triathlon,Odaiba Marine Park,Women
27th_July_2021,23:00,Surfing,Tsurigasaki Surfing Beach,"Men's Quarterfinals, Women's Quarterfinals, Men's Semifinals, Women's Semifinals"
27th_July_2021,0:30,Rowing,Sea Forest Waterway,"Men's Single Sculls Semifinals C/D,Women's Single Sculls Semifinals C/D, Lightweight Men's Double Sculls Final C"
27th_July_2021,1:00,Rugby,Tokyo Stadium,Men's Pool Round (6 matches)
27th_July_2021,1:00,Shooting,Asaka Shooting Range,"10m Air Pistol Mixed Team Qualification, 10m Air Pistol Mixed Team Finals, 10m Air Pistol Mixed Team Victory Ceremony, 10m Air Rifle Mixed Team Qualification, 10m Air Rifle Mixed Team Finals, 10m Air Rifle Mixed Team Victory Ceremony"
27th_July_2021,1:00,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group A: Japan vs Montenegro, Women's Preliminary Round Group B: Brazil vs Hungary"
27th_July_2021,1:00,Beach volleyball,Shiokaze Park,Men's or Women's Preliminaries (4 matches)
27th_July_2021,1:00,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool B: ROC vs Argentina, Women's Preliminary Round - Pool B: China vs United States"
27th_July_2021,1:30,Archery,Yumenoshima Park Archery Field,"Men's Individual 1/32 & 1/16 Eliminations, Women's Individual 1/32 & 1/16 Eliminations"
27th_July_2021,1:30,Hockey,Oi Hockey Stadium,"Men's Pool A: Argentina vs Australia, Men's Pool A: Japan vs New Zealand"
27th_July_2021,2:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Group Play Stage, Women's Singles Group Play Stage, Men's Doubles Group Play Stage, Women's Doubles Group Play Stage"
27th_July_2021,2:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Round 3, Women's Singles Round 3"
27th_July_2021,2:00,Hockey,Oi Hockey Stadium,"Men's Pool A: India vs Spain, Men's Pool B: Germany vs Great Britain"
27th_July_2021,2:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: South Africa vs United States, Men's Preliminary Round - Group B: Montenegro vs Spain"
27th_July_2021,2:00,Basketball,Saitama Super Arena,Women's Preliminary Round Group B: Japan vs France
27th_July_2021,2:00,Taekwondo,Makuhari Messe Hall,"Women +67 kg Round of 16 (8 matches), Men +80 kg Round of 16 (8 matches), Women +67 kg Quarterfinals (4 matches), Men +80 kg Quarterfinals (4 matches), Women +67 kg Semifinals (2 matches), Men +80 kg Semifinals (2 matches)"
27th_July_2021,2:00,Fencing,Makuhari Messe Hall,"Women's Epée Team Table of 16, Women's Epée Team Quarterfinals, Women's Epée Team Classification 5-8, Women's Epée Team Semifinals, Women's Epée Team Placement 5-6, Women's Epée Team Placement 7-8"
27th_July_2021,2:30,Swimming,Tokyo Aquatics Centre,"Women's 200m Freestyle Semifinals, Men's 200m Freestyle Final, Women's 100m Backstroke Final, Men's 100m Backstroke Final, Women's 100m Breaststroke Final, Men's 200m Butterfly Semifinals, Women's 200m Individual Medley Semifinals"
27th_July_2021,3:00,Tennis,Ariake Tennis Park,"Men's Singles Second Round, Women's Singles Third Round, Men's Doubles Quarterfinals, Women's Doubles Second Round/Quarterfinals"
27th_July_2021,3:00,Judo,Nippon Budokan,"Women -63 kg Elimination Rounds, Women -63 kg Quarterfinals, Men -81 kg Elimination Rounds, Men -81 kg Quarterfinals"
27th_July_2021,3:00,Boxing,Kokugikan Arena,"Men's Welter (63-69kg) - Preliminaries - Round of 16, Men's Heavy (81-91kg) - Preliminaries - Round of 16, Women's Light (57-60kg) - Preliminaries - Round of 32, Women's Welter (64-69kg) - Preliminaries - Round of 16"
27th_July_2021,3:50,Weightlifting,Tokyo International Forum,Women's 59 kg Group B and Women's 64 kg Group B
27th_July_2021,4:00,Sailing,Enoshima Yacht Harbour,"Laser Men, Laser Radial Women, Finn Men, 49er Men, 49er FX Women"
27th_July_2021,5:00,Softball,Yokohama Baseball Stadium,Softball Bronze Medal Game
27th_July_2021,5:30,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
27th_July_2021,5:40,Basketball,Saitama Super Arena,Women's Preliminary Round Group B: Nigeria vs United States
27th_July_2021,6:00,Canoe Slalom,Kasai Canoe Slalom Centre,"Kayak (K1) Women Semi-final, Kayak (K1) Women Final"
27th_July_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group B: Kazakhstan vs Serbia, Men's Preliminary Round - Group A: Italy vs Greece"
27th_July_2021,6:15,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group B: Sweden vs ROC, Women's Preliminary Round Group A: Republic of Korea vs Netherlands"
27th_July_2021,6:20,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Japan vs Serbia, Women's Preliminary Round - Pool B: Italy vs Turkey"
27th_July_2021,6:30,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Round 3, Women's Singles Round 3, Men's Singles Round of 16, Women's Singles Round of 16"
27th_July_2021,7:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
27th_July_2021,7:00,Cycling Mountain Bike,Izu MTB Course,Women's Cross-country
27th_July_2021,7:00,Diving,Tokyo Aquatics Centre,Women's Synchronised 10m Platform Final
27th_July_2021,7:50,Weightlifting,Tokyo International Forum,Women's 59 kg Group A
27th_July_2021,8:00,Archery,Yumenoshima Park Archery Field,"Men's Individual 1/32 & 1/16 Eliminations, Women's Individual 1/32 & 1/16 Eliminations"
27th_July_2021,8:30,Rugby,Tokyo Stadium,Men's Placing 9-12 (2 matches) & Quarter-finals (4 matches)
27th_July_2021,9:00,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
27th_July_2021,9:00,Equestrian,Equestrian Park,Dressage Team Grand Prix Special
27th_July_2021,9:00,Football,Ibaraki Kashima Stadium, Women's Group G: United States vs Australia
27th_July_2021,9:00,Football,Miyagi Stadium,"Women's Group G: New Zealand vs Sweden, Women's Group E: Chile vs Japan"
27th_July_2021,9:00,Judo,Nippon Budokan,"Women -63 kg Repechage, Women -63 kg Semifinals, Men -81 kg Repechage, Men -81 kg Semifinals, Women -63 kg Contests for Bronze Medal, Women -63 kg Final, Men -81 kg Contests for Bronze Medal, Men -81 kg Final"
27th_July_2021,9:00,Boxing,Kokugikan Arena,"Men's Welter (63-69kg) - Preliminaries - Round of 16, Men's Heavy (81-91kg) - Preliminaries - Round of 16, Women's Light (57-60kg) - Preliminaries - Round of 32, Women's Welter (64-69kg) - Preliminaries - Round of 16"
27th_July_2021,10:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Group Play Stage, Women's Singles Group Play Stage, Men's Doubles Group Play Stage, Women's Doubles Group Play Stage"
27th_July_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: Japan vs Hungary, Men's Preliminary Round - Group B: Australia vs Croatia"
27th_July_2021,10:30,Fencing,Makuhari Messe Hall,"Women's Epée Team Bronze Medal Match, Women's Epée Team Gold Medal Match"
27th_July_2021,10:30,Hockey,Oi Hockey Stadium,"Men's Pool B: Belgium vs South Africa, Men's Pool B: Netherlands vs Canada"
27th_July_2021,9:20,Basketball,Saitama Super Arena,Women's Preliminary Round Group C: Australia vs Belgium
27th_July_2021,11:00,Swimming,Tokyo Aquatics Centre,"Men's 100m Freestyle - Heats, Women's 200m Butterfly - Heats, Men's 200m Breaststroke - Heats, Men's 4 x 200m Freestyle Relay - Heats, Men's 800m Freestyle - Heats"
27th_July_2021,11:00,Taekwondo,Makuhari Messe Hall,"Women +67 kg Repechages (2 matches), Men +80 kg Repechages (2 matches), Women +67 kg Bronze Medal Contests (2 matches), Men +80 kg Bronze Medal Contests (2 matches), Women +67 kg Gold Medal Contest, Men +80 kg Gold Medal Contest"
27th_July_2021,11:30,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group A: Angola vs Norway, Women's Preliminary Round Group B: France vs Spain"
27th_July_2021,11:30,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Round of 16, Women's Singles Round of 16"
27th_July_2021,11:40,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Brazil vs Dominican Rep., Women's Preliminary Round - Pool A: Republic of Korea vs Kenya"
27th_July_2021,11:45,Artistic Gymnastics,Ariake Gymnastics Centre,Women's Team Final
27th_July_2021,11:50,Weightlifting,Tokyo International Forum,Women's 64 kg Group A
27th_July_2021,12:00,Softball,Yokohama Baseball Stadium,Softball Gold Medal Game
27th_July_2021,12:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
27th_July_2021,12:30,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
27th_July_2021,12:30,Football,Saitama Stadium,"Women's Group F: Brazil vs Zambia, Women's Group F: Netherlands vs China"
27th_July_2021,13:00,Basketball,Saitama Super Arena,Women's Preliminary Round Group C: Puerto Rico vs China
28th_July_2021,0:00,Surfing,Tsurigasaki Surfing Beach,"Women's Bronze medal match, Men's Bronze medal match, Women's Gold medal match, Men's Gold medal match"
28th_July_2021,0:30,Rowing,Sea Forest Waterway,"Women's Double Sculls Final B, Men's Double Sculls Final B, Women's Four Final B, Men's Four Final B, Women's Double Sculls Final A, Men's Double Sculls Final A, Women's Double Sculls Victory Ceremony, Women's Four Final A, Men's Double Sculls Victory Ceremony, Men's Four Finals A, Women's Four Victory Ceremony, Women's Eight Repechage, Men's Four Victory Ceremony, Men's Eight Repechage, Women's Single Sculls Semifinals A/B, Men's Single Sculls Semifinals A/B"
28th_July_2021,1:00,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Canada vs Islamic Rep. of Iran, Men's Preliminary Round - Pool B: United States vs Tunisia"
28th_July_2021,1:00,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group B: Denmark vs Bahrain, Men's Preliminary Round Group B: Sweden vs Portugal"
28th_July_2021,1:00,Shooting,Asaka Shooting Range,"Trap Women's Qualification - Day 1, Trap Men's Qualification - Day 1"
28th_July_2021,1:00,Rugby,Tokyo Stadium,"Men's Placing 11-12, Men's Placing 9-10, Men's Placing 5-8 (2 matches), Men's Semi-finals (2 matches)"
28th_July_2021,1:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
28th_July_2021,1:00,Badminton,Musashino Forest Sport Plaza,"Women's Singles Group Play Stage, Mixed Doubles Quarterfinals"
28th_July_2021,1:30,Archery,Yumenoshima Park Archery Field,"Men's Individual 1/32 & 1/16 Eliminations, Women's Individual 1/32 & 1/16 Eliminations"
28th_July_2021,1:30,Hockey,Oi Hockey Stadium,"Women's Pool A: Netherlands vs South Africa, Women's Pool B: New Zealand vs Spain"
28th_July_2021,2:00,Hockey,Oi Hockey Stadium,"Women's Pool A: Great Britain vs India, Women's Pool A: Germany vs Ireland"
28th_July_2021,2:00,Basketball,Saitama Super Arena,Men's Preliminary Round Group B: Nigeria vs Winner of Olympic Qualifying Tournament in Split(Croatia)
28th_July_2021,2:00,Fencing,Makuhari Messe Hall,"Men's Sabre Team Table of 16, Men's Sabre Team Quarterfinals, Men's Sabre Team Classification 5-8, Men's Sabre Team Semifinals, Men's Sabre Team Placement 5-6, Men's Sabre Team Placement 7-8"
28th_July_2021,2:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Women's Singles Quarterfinals, Men's Singles Quarterfinals"
28th_July_2021,2:30,Swimming,Tokyo Aquatics Centre,"Men's 100m Freestyle Semifinals, Women's 200m Freestyle Final, Men's 200m Butterfly Final, Women´s 200m Butterfly Semifinals, Women's 200m Freestyle Victory Ceremony, Men's 200m Breaststroke Semifinals, Men's 200m Butterfly Victory Ceremony, Women's 200m Individual Medley Final, Women's 1500m Freestyle Final, Women's 200m Individual Medley Victory Ceremony, Men's 4 x 200m Freestyle Relay Final"
28th_July_2021,3:00,Tennis,Ariake Tennis Park,"Men's Singles Third Round, Women's Singles Quarterfinals, Men's Doubles Semifinals, Women's Doubles Quarterfinals, Mixed Doubles First Round"
28th_July_2021,3:00,Boxing,Kokugikan Arena,"Women's Feather (54-57kg) QuarterFinal, Women's Middle (69-75kg) - Preliminaries - Round of 16, Men's Feather (52-57kg) - Preliminaries - Round of 16, Men's Light Heavy (75-81kg) - Preliminaries - Round of 16"
28th_July_2021,4:00,Baseball,Fukushima Azuma Baseball Stadium,Baseball Opening Round
28th_July_2021,4:00,Sailing,Enoshima Yacht Harbour,"RS:X Men, RS:X Women, Finn Men, 470 Men, 470 Women, 49er Men, 49er FX Women, Foiling Nacra 17 Mixed"
28th_July_2021,3:30,Cycling Road,Fuji international Speedway,"Women's Individual Time Trial, Women's Individual Time Trial Victory Ceremony, Men's Individual Time Trial, Men's Individual Time Trial Victory Ceremony"
28th_July_2021,5:00,Canoe Slalom,Kasai Canoe Slalom Centre,"Canoe (C1) Women Heats, Kayak (K1) Men Heats"
28th_July_2021,5:40,Basketball,Saitama Super Arena,Men's Preliminary Round Group A: United States vs Islamic Rep. of Iran
28th_July_2021,5:50,Weightlifting,Tokyo International Forum,Men's 73 kg Group B
28th_July_2021,6:00,Volleyball,Ariake Arena,"Women's Preliminary Round - Group B: Hungary vs United States, Women's Preliminary Round - Group A: Canada vs South Africa"
28th_July_2021,6:15,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group B: Japan vs Egypt, Men's Preliminary Round Group A: Norway vs Argentina"
28th_July_2021,6:20,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool B: Argentina vs France, Men's Preliminary Round - Pool A: Poland vs Venezuela"
28th_July_2021,7:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Women's Singles Quarterfinals, Men's Singles Quarterfinals"
28th_July_2021,7:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
28th_July_2021,7:00,Diving,Tokyo Aquatics Centre,Men's Synchronised 3m Springboard Final
28th_July_2021,8:00,Archery,Yumenoshima Park Archery Field,"Men's Individual 1/32 & 1/16 Eliminations, Women's Individual 1/32 & 1/16 Eliminations"
28th_July_2021,8:30,Rugby,Tokyo Stadium,"Men's Placing 7-8, Men's Placing 5-6, Men's Bronze Medal Match, Men's Gold Medal Match"
28th_July_2021,9:00,3x3 Basketball,Aomi Urban Sports Park,"Women's Semifinals (2 games), Men's Semifinals (2 games)"
28th_July_2021,9:00,Football,Miyagi Stadium,Men's Group D: Germany vs Côte d'Ivoire
28th_July_2021,9:00,Football,Saitama Stadium,"Men's Group D: Saudi Arabia vs Brazil, Men's Group C: Spain vs Argentina"
28th_July_2021,9:00,Boxing,Kokugikan Arena,"Women's Feather (54-57kg) QuarterFinal, Women's Middle (69-75kg) - Preliminaries - Round of 16, Men's Feather (52-57kg) - Preliminaries - Round of 16, Men's Light Heavy (75-81kg) - Preliminaries - Round of 16"
28th_July_2021,9:20,Basketball,Saitama Super Arena,Men's Preliminary Round Group B: Winner of Olympic Qualifying Tournament in Belgrade(Serbia) vs Australia
28th_July_2021,9:30,Equestrian,Equestrian Park,Dressage Individual Grand Prix Freestyle
28th_July_2021,9:30,Football,International Stadium Yokohama," Men's Group B: Republic of Korea vs Honduras, Men's Group A: France vs Japan"
28th_July_2021,9:30,Football,Sapporo Dome,"Men's Group B: Romania vs New Zealand, Men's Group A: South Africa vs Mexico"
28th_July_2021,10:00,Badminton,Musashino Forest Sport Plaza,Men's Singles Group Play Stage
28th_July_2021,10:20,Volleyball,Ariake Arena,"Women's Preliminary Round - Group B: China vs Japan, Women's Preliminary Round - Group A: Netherlands vs Spain"
28th_July_2021,10:30,Fencing,Makuhari Messe Hall,"Men's Sabre Team Bronze Medal Match, Men's Sabre Team Gold Medal Match"
28th_July_2021,10:30,Hockey,Oi Hockey Stadium,"Women's Pool B: Japan vs Australia, Men's Pool A: Japan vs Spain"
28th_July_2021,11:00,Swimming,Tokyo Aquatics Centre,"Women's 100m Freestyle - Heats, Men's 200m Backstroke - Heats, Women's 200m Breaststroke - Heats~, Men's 200m Individual Medley - Heats, Women's 4 x 200m Freestyle Relay - Heats"
28th_July_2021,11:00,Hockey,Oi Hockey Stadium,"Women's Pool B: Argentina vs China, Men's Pool A: Australia vs New Zealand"
28th_July_2021,11:30,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group A: Brazil vs Spain, Men's Preliminary Round Group A: France vs Germany"
28th_July_2021,11:15,Artistic Gymnastics,Ariake Gymnastics Centre,Men's All-Around Final
28th_July_2021,11:40,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Japan vs Italy, Men's Preliminary Round - Pool B: Brazil vs ROC"
28th_July_2021,11:50,Weightlifting,Tokyo International Forum,Men's 73 kg Group A
28th_July_2021,12:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Women's Singles Quarterfinals, Men's Singles Quarterfinals"
28th_July_2021,12:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
28th_July_2021,12:45,3x3 Basketball,Aomi Urban Sports Park,"Women's Bronze Medal Game, Men's Bronze Medal Game, Women's Gold Medal Game, Men's Gold Medal Game"
28th_July_2021,13:00,Basketball,Saitama Super Arena,Men's Preliminary Round Group A: Winner of Olympic Qualifying Tournament in Victoria(Canada) vs France
29th_July_2021,xx,Surfing,Tsurigasaki Surfing Beach,Competition TBD
29th_July_2021,23:30,Golf,Kasumigaseki Country Club,Men's Individual Stroke Play Round 1
29th_July_2021,0:30,Rowing,Sea Forest Waterway,"Men's Single Sculls Final F, Women's Single Sculls Final F, Men's Single Sculls Final E, Women's Single Sculls Final E, Men's Pair Final A, Women's Pair Final A, Men's Pair Victory Ceremony, Lightweight Men's Double Sculls Final A, Women's Pair Victory Ceremony, Lightweight, Women's Double Sculls Final A, Lightweight Men's Double Sculls Victory Ceremony, Men's Pairs Final B, Lightweight Women's Double Sculls Victory Ceremony, Women's Pairs Final B, Lightweight Men's Double Sculls Final B, Lightweight Women's Double Sculls Final B, Women's Single Sculls Final D, Men's Single Sculls Final D"
29th_July_2021,1:00,Rugby,Tokyo Stadium,Women's Pool Round (6 matches)
29th_July_2021,1:00,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool B: Italy vs Argentina, Women's Preliminary Round - Pool A: Republic of Korea vs Dominican Rep."
29th_July_2021,1:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
29th_July_2021,1:00,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group A: Netherlands vs Angola, Women's Preliminary Round Group B: Spain vs Brazil"
29th_July_2021,1:00,Fencing,Makuhari Messe Hall,"Women's Foil Team Table of 16, Women's Foil Team Quarterfinals, Women's Foil Team Classification 5-8, Women's Foil Team Semifinals, Women's Foil Team Placement 5-6, Women's Foil Team Placement 7-8"
29th_July_2021,1:00,Badminton,Musashino Forest Sport Plaza,"Mixed Doubles Semifinals, Men's Doubles Quarterfinals, Women's Singles Round of 16"
29th_July_2021,1:00,Shooting,Asaka Shooting Range,25m Pistol Women's Precision Stage
29th_July_2021,1:00,Shooting,Asaka Shooting Range,"Trap Women's Qualification - Day 2, Trap Men's Qualification - Day 2, Trap Women's Finals, Trap Men's Finals"
29th_July_2021,1:30,Archery,Yumenoshima Park Archery Field,"Men's Individual 1/32 & 1/16 Eliminations, Women's Individual 1/32 & 1/16 Eliminations"
29th_July_2021,1:30,Hockey,Oi Hockey Stadium,"Men's Pool A: India vs Argentina, Men's Pool B: South Africa vs Germany"
29th_July_2021,2:00,Basketball,Saitama Super Arena,Women's Preliminary Round Group A: Canada vs Republic of Korea
29th_July_2021,2:00,Cycling BMX Racing,Ariake Urban Sports Park,"Men's Quarterfinals, Women's Quarterfinals"
29th_July_2021,2:00,Hockey,Oi Hockey Stadium,"Men's Pool B: Belgium vs Canada, Men's Pool B: Netherlands vs Great Britain"
29th_July_2021,2:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: Hungary vs South Africa, Men's Preliminary Round - Group B: Spain vs Kazakhstan"
29th_July_2021,2:30,Swimming,Tokyo Aquatics Centre,"Men's 800m Freestyle Final, Men's 200m Breaststroke Final, Women's 100m Freestyle Semifinals, Men's 200m Backstroke Semifinals, Men's 800m Freestyle Victory Ceremony, Women's 200m Butterfly Final, Men's 100m Freestyle Final, Men's 200m Breaststroke Victory Ceremony, Women's 200m Breaststroke Semifinals, Men's 200m Individual Medley Semifinals, Women's 200m Butterfly Victory Ceremony, Women's 4 x 200m Freestyle Relay Final"
29th_July_2021,3:00,Table Tennis,Tokyo Metropolitan Gymnasium,Women's Singles Semifinals
29th_July_2021,3:00,Tennis,Ariake Tennis Park,"Men's Singles Quarterfinals, Women's Singles Semifinals, Women's Doubles Semifinals, Mixed Doubles Quarterfinals"
29th_July_2021,3:00,Judo,Nippon Budokan,"Women -70 kg Elimination Rounds, Women -70 kg Quarterfinals, Men -90 kg Elimination Rounds, Men -90 kg Quarterfinals"
29th_July_2021,3:00,Boxing,Kokugikan Arena,"Men's Middle (69-75kg) - Preliminaries - Round of 16, Men's Super Heavy (+91kg) - Preliminaries - Round of 16, Women's Fly (48-51kg) - Preliminaries - Round of 16"
29th_July_2021,4:00,Sailing,Enoshima Yacht Harbour,"RS:X Men, RS:X Women, Laser Men, Laser Radial Women, Finn Men, 470 Men, 470 Women"
29th_July_2021,5:40,Basketball,Saitama Super Arena,Men's Preliminary Round Group C: Winner of Olympic Qualifying Tournament in Kaunas(Lithuania) vs Japan
29th_July_2021,6:00,Canoe Slalom,Kasai Canoe Slalom Centre,"Canoe (C1) Women Semi-final, Canoe (C1) Women Final"
29th_July_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: United States vs Italy, Men's Preliminary Round - Group B: Croatia vs Montenegro"
29th_July_2021,6:15,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group A: Japan vs Republic of Korea, Women's Preliminary Round Group A: Montenegro vs Norway"
29th_July_2021,6:20,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Serbia vs Kenya, Women's Preliminary Round - Pool B: China vs ROC"
29th_July_2021,7:00,Table Tennis,Tokyo Metropolitan Gymnasium,Men's Singles Semifinals
29th_July_2021,7:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
29th_July_2021,8:00,Archery,Yumenoshima Park Archery Field,"Men's Individual 1/32 & 1/16 Eliminations, Women's Individual 1/32 & 1/16 Eliminations"
29th_July_2021,8:30,Rugby,Tokyo Stadium,Women's Pool Round (6 matches)
29th_July_2021,9:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Round of 16, Women's Doubles Quarterfinals"
29th_July_2021,9:00,Judo,Nippon Budokan,"Women -70 kg Repechage, Women -70 kg Semifinals, Men -90 kg Repechage, Men -90 kg Semifinals, Women -70 kg Contests for Bronze Medal, Women -70 kg Final, Men -90 kg Contests for Bronze Medal, Men -90 kg Final"
29th_July_2021,9:00,Boxing,Kokugikan Arena,"Men's Middle (69-75kg) - Preliminaries - Round of 16, Men's Super Heavy (+91kg) - Preliminaries - Round of 16, Women's Fly (48-51kg) - Preliminaries - Round of 16"
29th_July_2021,9:20,Basketball,Saitama Super Arena,Women's Preliminary Round Group A: Spain vs Serbia
29th_July_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: Greece vs Japan, Men's Preliminary Round - Group B: Serbia vs Australia"
29th_July_2021,10:30,Fencing,Makuhari Messe Hall,"Women's Foil Team Bronze Medal Match, Women's Foil Team Gold Medal Match"
29th_July_2021,10:30,Hockey,Oi Hockey Stadium,"Women's Pool B: Spain vs China, Women's Pool B: Japan vs Argentina"
29th_July_2021,11:00,Baseball,Yokohama Baseball Stadium,Baseball Opening Round
29th_July_2021,11:00,Swimming,Tokyo Aquatics Centre,"Women's 800m Freestyle - Heats, Men's 100m Butterfly - Heats, Women's 200m Backstroke - Heats, Mixed 4 x 100m Medley Relay - Heats"
29th_July_2021,11:00,Hockey,Oi Hockey Stadium,"Women's Pool A: Great Britain vs Netherlands, Women's Pool B: New Zealand vs Australia"
29th_July_2021,11:30,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group B: Hungary vs ROC, Women's Preliminary Round Group B: Sweden vs France"
29th_July_2021,11:40,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Japan vs Brazil, Women's Preliminary Round - Pool B: United States vs Turkey"
29th_July_2021,11:50,Artistic Gymnastics,Ariake Gymnastics Centre,Women's All-Around Final
29th_July_2021,12:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
29th_July_2021,12:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Women's Singles Bronze Medal Match, Women's Singles Gold Medal Match"
29th_July_2021,13:00,Basketball,Saitama Super Arena,Men's Preliminary Round Group C: Spain vs Argentina
30th_July_2021,xx,Surfing,Tsurigasaki Surfing Beach,Competition TBD
30th_July_2021,23:30,Golf,Kasumigaseki Country Club,Men's Individual Stroke Play Round 2
30th_July_2021,0:30,Equestrian,Equestrian Park,Eventing Dressage Team and Individual Day 1 - Session 1
30th_July_2021,0:45,Rowing,Sea Forest Waterway,"Women's Single Sculls Final C, Men's Single Sculls Final C, Women's Single Sculls Final B, Men's Single Sculls Final B, Women's Single Sculls Final A, Men's Single Sculls Final A, Women's Single Sculls Victory Ceremony, Women's Eight Final A, Men's Single Sculls Victory Ceremony, Men's Eight Final A"
30th_July_2021,1:00,Rugby,Tokyo Stadium,Women's Pool Round (6 matches)
30th_July_2021,1:00,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Canada vs Venezuela, Men's Preliminary Round - Pool B: Brazil vs United States"
30th_July_2021,1:00,Athletics,Olympic Stadium,"Men's 3000m Steeplechase Round 1, Men's High Jump Qualifying Round, Men's Discus Throw Qualifying Round, Women's 800m Round 1, Men's 400m Hurdles Round 1, Women's 100m Round 1"
30th_July_2021,1:00,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group A: Argentina vs Brazil, Men's Preliminary Round Group B: Bahrain vs Japan"
30th_July_2021,1:00,Beach volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
30th_July_2021,1:00,Badminton,Musashino Forest Sport Plaza,"Women's Singles Quarterfinals, Mixed Doubles Bronze Medal Match"
30th_July_2021,1:00,Shooting,Asaka Shooting Range,"25m Pistol Women's Qualification, 25m Pistol Women's Finals"
30th_July_2021,1:30,Hockey,Oi Hockey Stadium,"Women's Pool A: South Africa vs Germany, Women's Pool A: Ireland vs India"
30th_July_2021,1:30,Archery,Yumenoshima Park Archery Field,Women's Individual 1/8 Eliminations
30th_July_2021,2:00,Basketball,Saitama Super Arena,Women's Preliminary Round Group C: Belgium vs Puerto Rico
